names,emotions,subtitles,reasons
sample_00000648,angry,Don't talk to me about feelings anymore.,"In the video, he roared, spoke passionately, spoke quickly, spoke loudly, and stared with wide eyes. Therefore, it is inferred that his emotional state is anger."
sample_00000680,happy,"Last night, I forgot to thank you properly.","In the video, he used the phrase ""thank you"" to express his gratitude. His mouth curved upwards and his eyebrows lifted, showing some shyness and timidity. Therefore, it can be inferred that his emotional state is grateful, happy, and shy."
sample_00000927,happy,"Little earthworm, when are you coming back?","In the video, he eagerly awaits the arrival of the little earthworm. His voice is filled with joy, and when he laughs, his mouth curls up, revealing dimples, while shaking his head, he looks quite happy. Therefore, it can be inferred that his emotional state is anticipation and happiness."
sample_00001823,worried,"I want to ask you, why are you quitting? Is it true that you don't want to work in the emergency department anymore and really want to go to the United States?","In the video, his friend is about to leave the emergency department, and he appears to be a little sad. He doesn't quite understand why his friend is going to the United States, showing reluctance and concern. His voice is low and his brow is furrowed, suggesting a more negative emotional state. Therefore, it is inferred that his emotional state is sad, reluctant, and worried."
sample_00002348,surprise,Ah. Wei Wei is pregnant.,"In the video, he found out that his friend is pregnant and he was very surprised. He spoke faster, raised his voice, and suddenly sat up from the sofa. He opened his mouth wide, widened his eyes, and raised his eyebrows. Therefore, it can be inferred that his emotional state is surprise."
sample_00002518,sad,"If he is here, he will definitely support me.","In the video, it can be seen from ""if he is here"" that he feels sad because the person he misses is not by his side. Although he has been smiling, there are tears in his eyes and his eyes are also red. He speaks slowly, with long pauses and a soft voice. Therefore, it is inferred that his emotional state is sadness."
sample_00003662,happy,"How substantial it is, how precious it is.","In the video, he used ""how"" to intensify the emotion. His voice was strong and powerful, with a smile showing his teeth and a determined and spirited gaze, demonstrating his joy and excitement. Therefore, it can be inferred that his emotional state is joy and excitement."
sample_00003855,angry,"Don't say that about my mother-in-law, and besides, this money wasn't given to me by her.","In the video, he doesn't like it when others say inappropriate things about his mother-in-law, and he appears somewhat angry. He speaks with a slight frown, expressing his dissatisfaction. Therefore, it can be inferred that his emotional state is anger."
sample_00004125,sad,I'm sorry.,"In the video, he expressed his guilt and sadness through ""I'm sorry"". He had a crying tone, sniffed, furrowed his brows, and looked down at a slant. The dim environment also reflected a negative emotion of the character. Therefore, it can be inferred that his emotional state is sadness, sorrow, and guilt."
sample_00004422,happy,,"In the video, his mouth corners lifted, showing his teeth, and his eyebrows also raised. Therefore, it is inferred that his emotional state is happy."
sample_00004722,sad,"I feel really upset now, can I talk to you?","In the video, he expressed that he was feeling very upset and asked if the other person could listen to his inner thoughts, appearing somewhat helpless. His voice was low and weak, speaking slowly, revealing his low mood. His eyes were red, his eyebrows were slightly furrowed, and there were tears in the corners of his eyes, making him look a bit sad. Therefore, it can be inferred that his emotional state is low, sad, and helpless."
