name,chinese,english
sample_00000000,在视频中，开头的画面显示一位穿着医生服的男性角色，他的面部表情显得有些严肃和认真，眼神专注地看着对方，眉头紧皱，嘴角略微下垂，嘴巴微微张开，这可能表明他正在讨论一个严肃的问题，且已经有一些厌烦情绪。接下来的画面，男性医生的表情有所缓和，他的嘴角上扬，露出了微笑，眉毛挑起，整个面部表情显得轻松和愉快。这种变化表明说话者通过开玩笑及调侃的方式缓解了当前的紧张话题。；在音频中，角色在一开始时音调上挑，表达出不满与不耐。之后边笑边说，表达出高兴中带着一份调侃。；在文本中，字幕内容：“我哪知道啊！我，我，我也没有这方面的经验。” 这句话可能是男性医生对某个问题的回答或者解释。根据视频线索中男性医生的面部表情变化，从严肃和认真到轻松和愉快，以及音频线索中角色的语调变化，从不满与不耐到高兴中带着一份调侃，我们可以推断这句话可能带有一种幽默或者自嘲的语气。男性医生通过开玩笑和调侃的方式缓解了紧张的话题，表现出一种轻松和愉快的情绪。；,"In the video, the opening scene shows a male character wearing a doctor's uniform. His facial expression appears serious and focused, with a slightly furrowed brow, slightly downturned mouth, and slightly open mouth. This may indicate that he is discussing a serious issue and already feeling a bit frustrated. In the following scene, the male doctor's expression relaxes, with an upturned mouth and a smile, raised eyebrows, and an overall relaxed and happy facial expression. This change suggests that the speaker has lightened the tense topic through jokes and banter. In the audio, the character's tone is initially raised, expressing dissatisfaction and impatience. Later, while laughing, the character speaks, conveying happiness with a hint of teasing. In the text, the subtitle reads: ""How would I know! I, I, I don't have any experience in this area."" This sentence could be the male doctor's response or explanation to a certain question. Based on the facial expression changes of the male doctor in the video, from serious and focused to relaxed and happy, as well as the tone changes of the character in the audio, from dissatisfaction and impatience to happiness with a hint of teasing, we can infer that this sentence may have a humorous or self-deprecating tone. The male doctor lightens the tense topic through jokes and banter, displaying a relaxed and happy mood."
sample_00000007,在视频中，我们看到一位女士在室内环境中使用电话。她的面部表情显得愉悦，嘴角上扬，显示出她可能正在听到一些令她高兴的消息。随着时间的推移，她的眼睛微微眯起，笑容依旧很明显，并伴随着轻微的点头，这通常是人们在听到好消息或有趣的事情时的自然反应。；在音频中，角色声音洪亮，语气语调较为平稳，语音中带着一丝笑意，表明角色的情绪较为愉悦。；在文本中，字幕内容：“那就不见不散了啊，哎，好，再见。” 这句话可能是女士在电话中与对方约定见面的一种表达。根据视频线索中女士愉悦的面部表情和笑容，以及音频线索中角色愉悦的语气和笑意，我们可以推断这句话是女士对对方的积极回应，并表示她愿意与对方见面。女士的笑容和点头动作也进一步支持了这一推断。因此，这句话表达了女士的高兴和期待情绪。；,"In the video, we see a lady using a phone in an indoor environment. Her facial expression appears joyful, with the corners of her mouth turned up, indicating that she may be hearing some good news that pleases her. As time goes on, her eyes slightly squint, but her smile remains evident, accompanied by a slight nod, which is a natural reaction when people hear good news or something interesting. In the audio, the character's voice is loud, with a calm tone and a hint of laughter, indicating that the character is in a pleasant mood. In the text, the subtitle says, ""Then let's meet, okay? Well, goodbye."" This sentence may be an expression of the lady making an appointment to meet the other person over the phone. Based on the lady's joyful facial expression and smile in the video, as well as the character's pleasant tone and laughter in the audio, we can infer that this sentence is a positive response from the lady to the other person, indicating her willingness to meet. The lady's smile and nod further support this inference. Therefore, this sentence expresses the lady's happiness and anticipation."
sample_00000021,在视频中，画面显示一位中年女性，她坐在凳子上，场景是室内，装修比较豪华。在视频中，她的面部表情比较平和，姿态也比较自然，没有明显的紧张或不安的迹象。她的眼神直视对方，在认真地和对方交谈。；在音频中，角色在表达“你是真心愿意跟小川在一起？”的时候，在“你是真心”和“愿意跟小川在一起？”中有较长的停顿。这种停顿可能表明角色对对方的真实意图或者情感感受存在一些疑虑，也可能是因为对未来的不确定性或者对关系的担忧。；在文本中，字幕内容：“你是真心愿意跟小川在一起？”根据视频线索中女性的面部表情平和、姿态自然，没有紧张或不安的迹象，以及她直视对方并认真交谈的行为，可以推断她在询问对方的问题时是以一种较为平静和真诚的态度进行的。然而，根据音频线索中角色在表达这句话时的停顿，可以推测她可能对对方的真实意图或情感感受存在一些疑虑或担忧。这种停顿可能暗示着她对未来的不确定性或对关系的担忧，因此她在询问这个问题时可能带有一定的疑问或担心的情感状态。；,"In the video, the screen shows a middle-aged woman sitting on a chair in a luxurious indoor setting. Her facial expression is calm and her posture is natural, without any obvious signs of nervousness or unease. She maintains direct eye contact with the other person and engages in a serious conversation. In the audio, there is a longer pause between ""Are you genuinely willing"" and ""to be with Xiaochuan?"" when the character expresses the phrase. This pause may indicate that the character has some doubts about the other person's true intentions or emotional feelings, or it could be due to uncertainty about the future or concerns about the relationship.In the text, the subtitle reads, ""Are you genuinely willing to be with Xiaochuan?"" Based on the video clues of the woman's calm facial expression, natural posture, absence of nervousness or unease, and her direct eye contact and serious conversation with the other person, it can be inferred that she is asking the question in a calm and sincere manner. However, based on the pause in the audio when the character expresses this sentence, it can be speculated that she may have some doubts or concerns about the other person's true intentions or emotional feelings. This pause may imply her uncertainty about the future or her worries about the relationship, so she may have a certain emotional state of questioning or concern when asking this question."
sample_00000033,在视频中，画面显示了一位男性的特写镜头。他的面部表情相对紧张，眉头紧锁，可能表明他正在经历一种压力或者是处于某种紧张的情境中。背景模糊，难以分辨具体的环境，但看起来像是室内并且光线较暗，这可能增加了一种紧张或者严肃的氛围。结合这些线索，他可能正在处理一些严肃的事务，或者是在等待一些重要的结果。；在音频中，语速较快，句子中没有停顿，表明一种紧迫感。语气较低且单调。；在文本中，字幕内容：“你明知道龙舟队的队员现在都还是群菜鸟，就这么一群菜鸟怎么可能赢得比赛呀。” 这句话可能是男性对某个情境或者事件的评价或者反应。根据视频线索中男性的紧张的面部表情和背景的暗淡氛围，以及音频线索中语速较快、语气较低且单调，我们可以推断这句话可能带有一种担忧或者悲观的情绪。男性可能对龙舟队的表现持有一种不太乐观的态度，认为他们作为新手或者不够有经验的队员，很难赢得比赛。因此，这句话表达了男性的担忧和对比赛结果的悲观预期。；,"In the video, the screen shows a close-up shot of a male. His facial expression is relatively tense, with a furrowed brow, possibly indicating that he is experiencing some kind of pressure or is in a tense situation. The background is blurry, making it difficult to discern the specific environment, but it appears to be indoors and dimly lit, which may contribute to a tense or serious atmosphere. Taking these clues into consideration, he may be dealing with some serious matters or waiting for important results.In the audio, the speech is fast-paced, with no pauses in the sentences, indicating a sense of urgency. The tone is low and monotonous.In the text, the subtitle reads: ""You know that the members of the dragon boat team are all rookies, how could a group of rookies like this possibly win the race?"" This sentence may be the male's evaluation or reaction to a certain situation or event. Based on the male's tense facial expression in the video and the dim atmosphere in the background, as well as the fast-paced and low-toned audio, we can infer that this sentence may carry a sense of concern or pessimism. The male may hold a less optimistic attitude towards the performance of the dragon boat team, believing that as newcomers or inexperienced members, it would be difficult for them to win the race. Therefore, this sentence expresses the male's concern and pessimistic expectation for the outcome of the race."
sample_00000039,在视频中，开头的画面中，我们看到一位女性角色站在室内环境中，她表情严肃，眼睛瞪圆，盯着对方，可以看出她的情绪比较强烈。而对面的男性角色低着头，似乎做错了什么事情，从而引起了女性角色的不满。随着时间推移，她抬起手指着对方，并仰起头俯视对方，同时她嘴巴张的很大，似乎在和对方争吵，通过这种表情和动作来表达她的激动或愤怒的情绪状态。；在音频中，角色一开始声音急促且大声，语速较快，表现出激动的情绪。；在文本中，字幕内容：“我告诉你，曹小强，我现在跟你结婚。” 这句话可能是女性角色对男性角色表达的一种决定或者宣告。根据视频线索中女性角色严肃的表情、眼睛瞪圆、手指指着对方并仰头俯视的动作，以及音频线索中角色声音急促、语速较快的激动情绪，我们可以推断这句话带有一种愤怒或者决绝的情绪。女性角色可能对男性角色的某种行为或者态度感到不满，通过这句话来表达她的决定和愤怒情绪。；,"In the video, in the opening scene, we see a female character standing in an indoor environment. She has a serious expression, wide eyes, and is staring at the other person. It can be seen that her emotions are intense. On the other hand, the male character is lowering his head, seeming to have done something wrong, which has caused the female character's dissatisfaction. As time passes, she raises her finger and points at the other person, tilting her head up to look down at him. At the same time, her mouth is wide open, seemingly arguing with the other person. Through these expressions and actions, she is expressing her excitement or anger. In the audio, the character's voice is initially urgent and loud, with a fast pace, showing an excited emotion. In the text, the subtitle says, ""I'm telling you, Cao Xiaoqiang, I'm marrying you now."" This sentence may be a decision or declaration expressed by the female character to the male character. Based on the serious expression, wide eyes, finger pointing, and tilting head up to look down actions of the female character in the video, as well as the urgent voice and fast pace in the audio, we can infer that this sentence carries a sense of anger or determination. The female character may be dissatisfied with the male character's behavior or attitude and is expressing her decision and anger through this sentence."
sample_00000055,在视频中，我们看到一位穿着医生服装的男性角色，他的面部表情显得有些严肃和关切。他的眉头微微皱起，嘴角略微下垂，这可能表明他正在经历一种不太愉快的情绪状态。随着视频的进行，他的目光左右移动，可能是在与某人对话。他的脸部表情依然保持着一种严肃的状态，这进一步强化了他可能正在处理一个严峻的情况。；在音频中，说话声音显得很低沉，显得人物心情比较沉重。；在文本中，字幕内容：“让病人衰弱的心脏呢，暂时得到一些缓解，但是这台机器的使用呢，并不广泛。” 这句话可能是男性角色在讨论某种医疗设备的使用情况。根据视频线索中男性角色严肃和关切的面部表情，以及音频线索中低沉的说话声音，我们可以推断男性角色可能在谈论一个严峻的医疗问题，可能是在讨论某种医疗设备的使用情况。他的严肃表情和低沉的语气进一步强化了他的沉重心情。；,"In the video, we see a male character wearing a doctor's outfit. His facial expression appears serious and concerned. His eyebrows are slightly furrowed and the corners of his mouth are slightly downturned, indicating that he may be experiencing an unpleasant emotional state. As the video progresses, his gaze moves from left to right, possibly indicating a conversation with someone. His facial expression remains serious, further emphasizing that he may be dealing with a serious situation. In the audio, the speaking voice sounds deep and heavy, suggesting that the character's mood is quite heavy.In the text, the subtitle reads: ""The patient's weakened heart is temporarily relieved, but the use of this machine is not widespread."" This sentence may indicate that the male character is discussing the usage of a certain medical device. Based on the serious and concerned facial expression of the male character in the video clues, as well as the low and heavy tone in the audio clues, we can infer that the male character is possibly discussing a serious medical issue, possibly discussing the usage of a certain medical device. His serious expression and heavy tone further reinforce his heavy mood."
sample_00000068,在视频中，画面显示一位女性坐在一个昏暗的房间里，人物距离镜头比较远。在视频中，她似乎略微皱着眉头，能看到些许抬头纹，整体面部情感比较负面。她的身体姿态显得有些僵硬，一只手一直抓着另一只手，这可能是内心紧张或不安的体现。房间内的光线较暗，只有一盏灯提供光亮，这种环境可能会增加一种紧张的氛围。；在音频中，语气低沉且情绪化，说话间带着微微的颤音并且还带着哭腔。结合文本内容，角色在恳求或乞求对方，不要将她扫地出门。；在文本中，字幕内容：“你们老方家不能把我扫地出门啊。” 这句话表达了女性角色的恳求或乞求，希望对方不要将她扫地出门。根据视频线索中女性角色面部情感负面、身体姿态僵硬以及房间内的昏暗环境，可以推断女性角色可能感到紧张、不安和担忧。同时，音频线索中描述的语气低沉、情绪化、微微颤音和哭腔，也进一步支持了女性角色的负面情绪状态。因此，这句话表达了女性角色内心的恐惧和不安，希望对方能够理解并不要将她赶出去。；,"In the video, the scene shows a woman sitting in a dimly lit room, with the character being far away from the camera. In the video, she seems to slightly frown, with visible forehead wrinkles, and overall negative facial expressions. Her body posture appears stiff, with one hand constantly gripping the other, which may indicate inner nervousness or unease. The lighting in the room is dark, with only one lamp providing brightness, creating a tense atmosphere. In the audio, the tone is low and emotional, with a slight tremor and a hint of crying while speaking. Combined with the text content, the character is pleading or begging the other person not to kick her out. The subtitle in the text says, ""You can't kick me out of the house, old Fang family."" This sentence expresses the woman's plea or begging, hoping that the other person will not kick her out. Based on the negative facial expressions, stiff body posture of the female character in the video, and the dim environment in the room, it can be inferred that the female character may feel nervous, uneasy, and worried. At the same time, the audio clue describing the low tone, emotional state, slight tremor, and crying tone further supports the negative emotional state of the female character. Therefore, this sentence expresses the woman's fear and unease, hoping that the other person can understand and not kick her out."
sample_00000070,在视频中，我们看到一个男性角色，他的面部表情相对平静，微微皱着眉头，眼眶些许泛红，推测人物的情感比较负面或难过。他眼神直视前方，似乎在专注地听着某人说话或者在思考某个问题。画面整体为暗调色，凸显了人物难过的情绪。；在音频中，声音低沉无力，语速较慢；在文本中，字幕内容：“难道你没有结过婚？” 这句话可能是男性角色对某人的质问或者疑惑。根据视频线索中男性角色面部表情平静、微微皱眉、眼眶泛红，以及整个画面暗调色，凸显出人物难过的情绪，我们可以推断这句话可能带有一种失望、沮丧或者悲伤的语气。同时，音频线索中描述的声音低沉无力、语速较慢也进一步支持了这种负面情绪的推断。因此，这句话可能是男性角色在表达自己的失望或者沮丧情绪，与视频线索中展现的负面情绪相符合。；,"In the video, we see a male character with a relatively calm facial expression, slightly furrowed brows, and slightly reddened eyes, suggesting that the character's emotions are negative or sad. His gaze is straight ahead, indicating that he is attentively listening to someone or contemplating a certain question. The overall tone of the scene is dark, highlighting the character's feelings of sadness. In the audio, the voice is low and weak, with a slow pace. In the text, the subtitle says, ""Have you never been married?"" This sentence may be the male character's questioning or confusion towards someone. Based on the video clues of the male character's calm facial expression, slightly furrowed brows, and reddened eyes, as well as the overall dark tone of the scene, which emphasizes the character's sadness, we can infer that this sentence may carry a tone of disappointment, frustration, or sadness. Additionally, the audio clue describing a low and weak voice with a slow pace further supports this inference of negative emotions. Therefore, this sentence may be the male character expressing his disappointment or frustration, aligning with the negative emotions portrayed in the video clues."
sample_00000073,在视频中，画面显示了一个男性角色坐在床边，他身穿红色的睡袍，视频应该是发生在卧室中。视频开头，他的眼睛瞪的很大，眉毛抬起，头部的青筋比较明显，嘴巴微微张开，手掌向外翻，好像在制止对方说话，从而强调自己的看法。随着时间的推移，男士说话时快速地上下挥动手臂，带有一些攻击性，头向下边晃边说话，嘴巴运动幅度较大，表现出的情绪非常激动，似乎想进一步强调一些事情。；在音频中，角色音量较大，语速较快，语气较重且具有攻击性，表现出角色情绪非常激动和愤怒。；在文本中，字幕内容：“好于小强，我今天把所有的事情，都跟你说清楚。” 这句话可能是男士对另一个人（小强）说的。根据视频线索中男士的表现，包括眼睛瞪大、眉毛抬起、头部青筋明显、手掌向外翻等动作，以及音频线索中描述的角色语速快、语气重、具有攻击性，我们可以推断男士在这句话中表达了愤怒和激动的情绪。男士的肢体语言和语音特征都显示出他想强调一些事情，并且他的态度可能是非常严厉和决绝的。因此，这句话可能是男士在表达他对小强的不满或者要求对方做出解释的情绪。；,"In the video, the scene shows a male character sitting on the edge of a bed, wearing a red robe. The video appears to take place in a bedroom. At the beginning of the video, his eyes are wide open, eyebrows raised, veins on his head are prominent, his mouth is slightly open, and his palms are turned outward, as if trying to prevent the other person from speaking, emphasizing his own opinion. As time goes on, the man rapidly waves his arms up and down while speaking, displaying some aggression. He shakes his head downwards while speaking, with large movements of his mouth, showing intense emotions, seemingly wanting to further emphasize something. In the audio, the character's volume is loud, speech is fast, tone is heavy and aggressive, displaying a highly excited and angry emotional state. In the text, the subtitle reads: ""Okay, Xiaoqiang, today I will explain everything to you."" This sentence is likely spoken by the man to another person (Xiaoqiang). Based on the man's behavior in the video, including wide open eyes, raised eyebrows, prominent veins on the head, and outward-facing palms, as well as the audio description of fast speech, heavy tone, and aggression, we can infer that the man is expressing anger and excitement in this sentence. The man's body language and vocal characteristics both indicate that he wants to emphasize something, and his attitude may be very stern and resolute. Therefore, this sentence may express the man's dissatisfaction with Xiaoqiang or his demand for an explanation from the other person."
sample_00000114,在视频中，到视频的中间部分，男性角色把手举起，掌心向外，这是一个常见的手势，似乎想要制止对方说话。接下来的画面中，男性角色的表情变得更加强烈，他眉毛略微皱起，对其他人用手指指指点点，似乎在强调某个点或者在回应一个突出的问题，可能表明他在表达一种不满的情绪。；在音频中，但随着时间的推移，他的声音提高，语速加快，显得比较激动；在文本中，字幕内容：“行行行行行行行，不过我丑话说在前头啊，如果你影响进度了，我想加谁进来。” 这句话可能是男性角色在表达不满和不耐烦。根据视频线索中男性角色的手势和表情变得更加强烈，眉毛皱起，手指指指点点，以及音频线索中他的声音提高、语速加快，我们可以推断他在表达一种不满的情绪。这句话中的措辞也表明他对对方的行为或者言论有所不满，并且暗示了可能会采取一些行动来解决问题。；,"In the video, in the middle part, the male character raises his hand with his palm facing outwards, which is a common gesture that seems to want to stop the other person from speaking. In the following scene, the male character's expression becomes more intense, with slightly furrowed eyebrows, pointing and gesturing with his fingers towards others, seemingly emphasizing a point or responding to a prominent question, possibly indicating his expression of dissatisfaction. In the audio, however, as time goes on, his voice becomes louder and faster, appearing more excited. In the text, the subtitle reads: ""Okay, okay, okay, but let me make it clear, if you slow down the progress, I will add someone else."" This sentence may indicate the male character expressing dissatisfaction and impatience. Based on the video clues of the male character's intensified gestures and expressions, furrowed eyebrows, pointing and gesturing with his fingers, as well as the audio clue of his raised voice and faster speech, we can infer that he is expressing a sense of dissatisfaction. The wording in this sentence also suggests his dissatisfaction with the other person's actions or remarks, and implies that he may take some action to resolve the issue."
