names,chi_reasons
sample_00000648,在视频中，他怒吼，言辞激动，语速很快，音量很高，眼睛瞪大。因此推测他的情感状态为生气。
sample_00000680,在视频中，他用“好好谢谢你”这个词组来表达自己的感激之情。他嘴角上扬，眉毛也抬起，有些腼腆和害羞。因此，推测他的情感状态为感激、高兴、害羞。
sample_00000927,在视频中，他充满期待地等待着小蚯蚓的到来。他的声音洋溢着愉悦，笑起来时，嘴角上扬，露出酒窝，同时摇晃着脑袋，看起来挺高兴的。因此，推测他的情感状态为期待、高兴。
sample_00001823,在视频中，他的好友即将离开急诊岗位，他表现的有些难过。他不太理解好友为何要去美国，表现出不舍和担忧。他的声音低沉、皱着眉头，推测情感比较偏向于负面。因此，推测他的情感状态为难过、不舍、担忧。
sample_00002348,在视频中，他得知好友怀孕后，表现的非常惊讶。他语速加快，音量抬高，突然也从沙发上坐了起来。他张大嘴巴，瞪大眼睛，眉毛抬起。因此，推测他的情感状态为惊讶。
sample_00002518,在视频中，从“倘若他在的话”可以看出，他想念的人不在身边而感到伤心。尽管他一直微笑着，但眼睛里含着泪光，眼眶也泛红了。他说话的速度很慢，中间停顿较长，声音也比较轻。因此，推测他的情感状态为悲伤。
sample_00003662,在视频中，他用“多么”加强了感情。声音铿锵有力，嘴角上扬露出牙齿，目光坚定有神，展现了他的喜悦和兴奋。因此，推测他的情感状态为喜悦和兴奋。
sample_00003855,在视频中，他不喜欢别人对他的婆婆说不当的话，显得有些生气。他说话时微微皱眉，表达了他的不满。因此，推测他的情感状态为生气。
sample_00004125,在视频中，他通过“对不起”表达了自己的愧疚和难过。他带有哭腔，抽鼻子，眉头紧锁，低头看着斜下方。昏暗的环境也反映出人物偏向于负面的情绪。因此，推测他的情感状态为悲伤、难过、内疚。
sample_00004422,在视频中，他嘴角上扬，笑的露出牙齿，眉毛也跟着抬起。因此，推测他的情感状态为高兴。
sample_00004722,在视频中，他表达了自己心里很难受，并询问对方能否聆听自己的心声，显得有些无助。他声音低沉无力、语速缓慢，透露出他情绪低落。他的眼睛发红，眉头微皱，眼角有泪光，看起来有些难过。因此，推测他的情感状态为低落、难过、无助。
sample_00004776,在视频中，他怀疑对方说谎而有些生气，声音也稍有提高，斜眼看向对方。因此，推测他的情感状态为生气。
sample_00005000,在视频中，他担心自己能否顺利通过考核。他说话速度缓慢，语调低沉，声音听起来柔弱无力。因此，推测他的情感状态为担忧。
sample_00005526,在视频中，他感到别人在戏弄他，感到生气和不满。在视频后段，音量抬高，语速加快，眉头紧锁，眼睛瞪得很大，看出情绪比较激动。因此推测他的情感状态为生气。
sample_00005608,在视频中，他听到对方接受了他的条件，感到开心。他的声音轻快，嘴角上扬并露出牙齿，眉毛也跟着抬起，嘟着嘴。因此，推测他的情感状态为高兴。
sample_00006114,在视频中，他心里放不下一些事情，显得有些担忧。说话语速缓慢，声音低沉，时常叹气，低头，皱眉，眼圈微红。因此，推测他的情感状态为担忧。
sample_00006294,在视频中，通过”谢谢“表达了他非常感激对方。他早已知道对方和果然的关系，说话断断续续，显得有些羞涩。他嘴角上扬，露出牙齿和酒窝，看起来挺高兴的。因此，推测他的情感状态为感激、羞涩、高兴。
sample_00006710,在视频中，他因受到干妈的夸奖而高兴。他说话声音欢快，嘴角上扬，因此推测他的情感状态为高兴。
sample_00006748,在视频中，通过反问“你满意了吗？”表达了他的不满和生气。他说话语速快，语气激动，声音颤抖，有些结巴，眉头紧锁。因此，推测他的情感状态为生气。
sample_00005854,在视频中，他表达了对某人的选择感到生气。他的语速较快，音量较高，言语比较激动，眉头紧锁，表现的很激动。因此，推测他的情感状态为生气。
sample_00003358,在视频中，他声音低沉，有气无力，有些哽咽，语速较慢，中间停顿较长，微微皱着眉头。因此推测他的情感状态为悲伤。
sample_00005933,在视频中，他发出了笑声，嘴角上扬，眉毛抬起。因此推测他的情感状态为高兴。
sample_00000613,在视频中，他通过反问“朋友？”，推测他的朋友可能之前做了一些对不起他的事情，让他非常生气。同时，他眉头紧锁，感觉情感比较负面。因此，推测他的情感状态为生气。
sample_00001832,在视频中，他担忧对方不和曾主任提前沟通，可能会产生不好后果。他在说“万一”的时候通过加重语气特意强调。因此，推测他的情感状态为担忧。
sample_00001178,在视频中，他对曹小强纠缠微澜的行为十分不满，以致对其发出了最后通牒。他言语激动，音量很高，都有些破音，甚至由于生气导致声音有些颤抖，语速较快。他的表情非常激动，眉头紧锁，眼睛瞪得很大，面目比较狰狞。因此，推测他的情感状态为生气。
sample_00002571,在视频中，他因为得知某人还活着而感到十分意外和惊喜。他的语速变快，语调突然抬高，露出笑容，表明情感是偏正向的。因此，推测他的情感状态为惊讶和高兴。
sample_00006664,在视频中，他担心对方会因为自己没有告诉她某件事情而和自己生气。同时，他也担心对方知道了最好不要知道的东西而感到担忧。他低头看向对方，有些许抱歉。因此，推测他的情感状态为担忧、抱歉。
sample_00002730,在视频中，他长叹一口气，眼神有些迷离，可能电话那头跟他说了什么不好的事情。因此，推测他的情感状态为担忧。
sample_00006774,在视频中，从“我想一定会有好的办法”中可以看出，他面临的问题比较棘手，正在寻找解决方法。他叹了口气，眉头紧皱，眼睛不停转动，可能在思考着解决办法，并表现出一定的担忧。因此，推测他的情感状态为担忧。
sample_00002785,在视频中，他发出笑声，嘴角上扬，眉毛抬起。因此推测他的情感状态为高兴。
sample_00001110,在视频中，他语调上扬，嘴角上扬，眉毛抬起，笑得很开心。因此，推测他的情感状态为高兴。
sample_00006433,在视频中，他担心自己因为不是名牌学校出身而被公司开除。此外，在视频中部，他有些许低头往下看，表现出他的不自信和不安。因此，推测他的情感状态为担忧、不自信、不安。
sample_00002956,在视频中，他表达了对对方虚伪行为的不满。因此，推测他的情感状态为生气。
sample_00006957,在视频中，他对对方不尊重王老师的行为感到不满和生气，并正在批评对方。视频后端抬高了音量，语速也加快了。因此，推测他的情感状态为生气。
sample_00005637,在视频中，他叹了口气，说话吞吞吐吐，表达了对父母身体健康状况的担忧，同时也为自己因工作忙碌无法照顾父母感到无奈和内疚。因此，推测他的情感状态为担忧、无奈、内疚。
sample_00004256,在视频中，他对自己的身体状态表现得比较满意。他的语调上扬，嘴角上扬，眉毛抬起，露出笑容。因此推测他的情感状态为高兴。
sample_00004297,在视频中，从他说“太夸张啦！”可以看出他非常惊讶。此外，他语调上扬，嘴角上扬，笑的时候出现酒窝，看起来有些高兴。因此推测他的情感状态为高兴和惊讶。
sample_00001421,在视频中，他通过“不要跟我扯上关系，我没有外公，也不需要他的礼物”表达了对外公的不满，反映出他们之间的紧张关系。他板着脸，背对着对方说话，不想理会对方。因此，推测他的情感状态为生气。
sample_00003605,在视频中，他对对方的问题感到有些不高兴，可能是因为对方问了一些敏感的问题。他的语速较快，微微皱眉。因此，推测他的情感状态为生气。
sample_00006198,在视频中，虽然他面带笑容，但是他质问对方：“你真傻假傻呀？”表达他对对方装傻的行为表现出不满和生气。因此推测他的情感状态为生气。
sample_00001468,在视频中，一开始语气较为平稳，视频后端抬高了音量，语速也加快，开始抑制不住生气和激动。结合“是你跟我说，你觉得他有神经病！”可以推测，他对对方的言论对自己产生了某种误导，让他做出了错误的行为，表达了些许埋怨。因此，推测他的情感状态为生气、埋怨、激动。
sample_00002991,在视频中，他一开始瞪大眼睛看向对方。随后，他眼神躲闪，并转过头不想直视对方。结合“我不想见到他”，可以推测他的情感状态比较负面。
sample_00000393,在视频中，他对对方深夜找蔡微澜这一行为感到不满，可能认为对方是在骚扰蔡微澜。他的言语比较激动，语速较快，音量较高，眉头紧锁，表情也比较激动。因此推测他的情感状态为生气。
