names,chi_reasons
sample_00000648,这个人的情绪状态似乎是消极或沮丧的，因为他们表达了不想再讨论感受的愿望。图片显示了一个表情严肃的女人，字幕“不要再跟我谈感受了”进一步强调了这种情绪。这可能表明这个人厌倦了谈论自己的情绪，或者正在经历情绪困扰并希望避免这个话题。
sample_00000680,这个人的情绪状态似乎有些痛苦或失望。他站在一个有白色墙壁的房间里，穿着一件灰色衬衫和一条黑色领带，严肃地看着摄像机。字幕“昨晚，我忘了好好感谢你”暗示这个人对前一晚发生的事情感到失望，可能与社交互动或未能表达感激之机有关。这个人的面部表情和身体语言表明他对这种情况感到非常困扰，可能正在反思自己的行为或对方的行为。
sample_00000927,图像中的人似乎处于快乐和满足的情绪状态。他们微笑着靠在墙上，手放在腰间。字幕“小蚯蚓，你什么时候回来？”表明这个人正在享受一个轻松愉快的时刻，可能是在参考电影或笑话。人的微笑和幽默的字幕的结合，表明场景中有着积极和有趣的氛围。
sample_00001823,这个人的情绪状态似乎是悲伤和不确定的。他们坐在床上，面带严肃表情，字幕暗示他们正在考虑离开急诊科的工作，可能搬到美国。这个决定可能是由于各种原因，比如对当前工作环境不满意，渴望改变，甚至是个人原因。这个人的面部表情和肢体语言传达出悲伤和思考的感觉，表明他们正在为这个困难的决定而苦苦挣扎。
sample_00002348,这个人的情绪状态似乎是积极和快乐的，因为他们坐在床上时微笑着。怀孕字幕的存在表明他们正在期待一个孩子，这很可能是他们的 幸福和兴奋的来源。
sample_00002518,根据图像，这个人的情绪状态似乎是积极和自信的。这位女士正在微笑并抬头看着，这表明她感到快乐和乐观。副标题“如果他在这里，他一定会支持我”的存在暗示着这位女士对自己的决策有信心，并对结果有信心。这种积极的情绪状态可能会影响她未来的行动和决策。
sample_00003662,这张图片中的人似乎表达了一种重要性或价值感。他穿着西装领带，双手放在胸前，目光专注地看着摄像机。字幕“它有多重要，有多珍贵”表明这个人强调某件事情的重要性或价值。这可能与他们的工作、个人成就或他们想要传达给观众的信息有关。这个人的肢体语言和字幕一起传达了一种重要性和对他们所呈现的事物的自豪感。
sample_00003855,这个人的情绪状态似乎是消极或不安，因为他们正在与电话中的某人交谈，并对情况表示不满。他们说：“不要这样说我的岳母”和“而且，这笔钱不是他们给我的。”这表明这个人与通话另一端的人存在某种冲突或意见不合。
sample_00004125,这个人的情绪状态似乎是悲伤或懊悔，因为他们站在外面，望着下方，低着头。字幕中的“对不起”暗示他们可能在为某事道歉或表达遗憾。黑暗的环境和这个人的姿势增加了一种脆弱和内省的感觉。
sample_00004422,这张图片中的人看起来心情愉快和满足，因为他们在微笑并向上看。项链的存在以及他们穿着礼服表明他们可能正在参加一个特殊的场合或享受一个愉快的事件。字幕“nan”与这个人的情绪状态没有直接关系，但可能是对他们生活中重要人物的参考。总体而言，这张图片传达了积极和愉快的氛围。
