names,chi_reasons
sample_00000648,视频显示一个成年女性正在与另一个人通电话，后者正在看着屏幕。这位女性似乎很不高兴或沮丧，因为她的脸上带着皱眉和摇头的表情，并且她还用手捂着嘴。另一个人显然被屏幕分散了注意力，增加了对话中的紧张感。她穿着色彩鲜艳的裙子和华丽的耳环也表明她感到某种程度的不适或不满。总体而言，这个视频传达了一种紧张和不满的感觉。
sample_00000680,从视频中的线索可以推断出这个人的情绪状态。年轻人的面部表情，他看待不得不回家的人的方式，他看窗户反射的方式，以及他对有人来向他告别的消息的反应，都表明他感到悲伤、怀旧和惊讶的情绪交织在一起。总体而言，他似乎感到有些情绪化和忧郁，但也期待着一个他可能非常喜欢的人的到来。
sample_00000927,根据视频，我们可以推断出这个人正在一个客厅里坐着用手机讲话。她似乎正在和某人谈论最近的电话对话，并至少提到了“钻石”这个词，这表明她正在谈论电话对话的性质。视频的整体氛围很轻松，这个人的面部表情和肢体语言表明他们对这次对话并不过分烦恼或担心。
sample_00001823,根据给定的线索，无法推断出这个人的情绪状态。然而，我们可以推断出这个人在急诊科工作时是认真和坚定的。此外，这个人在一个有病人等待医疗救治的医院工作，这意味着他对工作有承诺。
sample_00002348,根据视频可以推断出，这个人显然很不高兴，因为他们正在打电话，摇头，并且表情痛苦。他们哭泣的事实表明他们深受困扰或压力过 大。视频中提到了怀孕的女人，所以这个人可能对最近出生的婴儿感到不满。然而，如果没有更多关于电话对话或情境的信息，很难确定确切的情绪状态。
sample_00002518,这个女人戴着一个挂在脖子上的吊坠，并且手里还拿着一个吊坠。吊坠和她耳环上复杂的设计表明她可能是一个富有或有影响力的人。她的目光集中在摄像机上，传达出自信和决心。她的话语表明她正在提出请求或恳求，暗示她可能正在寻求他人的帮助或希望有一个积极的结果。总体而言，她的情绪状态似乎是希望和坚定的。
sample_00003662,视频显示一个穿着黑色西装和领带的男人在一个活动中讲话。根据他的声音语调、手势以及观众们的面部表情，我们可以推断他在舞台上感到自信和舒适。他站着认真地讲话，没有坐立不安。
sample_00003855,根据视频，我们可以推断出这个人感到很开心。场景描绘了一个女人正在和某人交谈，而另一个人正在笑和微笑。他们两个人看起来都很放松，并且正在进行对话。
sample_00004125,从视频中可以推断出这个人很焦虑和紧张。他们不安地踢脚并紧张地四处张望房间。我们还可以推断出这个人可能在等待某人或某事，并且对自己所处的情况不满意。
sample_00004422,根据视频，可以推断出这个人的情绪状态是快乐的。视频中展示了一个年轻女子微笑着穿着一件亮红色的毛皮裙子，她坐在沙发上打电话。整个视频的氛围轻松愉快。
sample_00004722,通过观察她的面部表情和身体语言，我们可以推断出这个人的情绪状态。从视频中，我们看到一个年轻女子，她看起来很烦恼，眼睛低垂，肩膀耸起，手托着头。她还在打电话，这表明她正在试图与某人沟通以寻求安慰或保证。她站在公共场所，比如商场，并在私下里打电话，这表明她正在寻求隐私和与亲近的人交流的能力。总体而言，我们可以推断出这个人的情绪状态是烦恼并寻求他人的支持。
sample_00004776,根据视频，这位女士在与记者交谈时显得冷静和放松。她没有明显的不安或焦虑，自由地表达她的想法。
sample_00005000,根据视频，这个人戴着眼镜，看起来很累，可能很紧张或匆忙。他们在车里，可能正在去某个地方。屏幕上的文字显示他们正在学习，可能在准备考试或评估。没有其他上下文来推断他们的情绪状态。语言是中文。
sample_00005526,这位女士情绪低落，正在观看视频回忆过去。她回想起丈夫离开她的情景，以及他送她离开的情况。视频和她的思绪表明她对过去的决定感到后悔，并对分手感到不快。
sample_00005608,根据视频，这个人的情绪状态可能是不确定或者焦虑的。视频的前半部分显示这个人穿着夹克，面带严肃表情看着摄像头。然而，在视频的后半部分，这个人的面部表情发生了变化，似乎对情况感到不确定或者焦虑。他们的情绪状态没有明确的指示，但似乎是相当复杂的。
sample_00006114,这个视频展示了一个年轻女子站在一个黑暗、空荡荡的房间里。她看起来很疲倦，似乎在深思。字幕中的文字暗示她可能正在与困难的情绪斗争。字幕提到心理问题暗示这个女人正在经历某种心理或情绪上的压力。
sample_00006294,根据视频，我们可以推断这个人正在笑和微笑。有几个线索支持这一点，包括他们的面部表情、手势以及与另一个人的对话。这位女士似乎真的很开心和满足。
sample_00006710,这位女士在打电话时心情愉快，微笑、笑着，并与某人交谈。她对电话呼叫表现出兴趣，并专注于与对话伙伴的交流。没有任何悲伤、失望或不满的迹象。总体而言，她似乎感到满足并享受着电话交谈。
sample_00006748,根据视频，我们可以推断出这个人的情绪状态是快乐和满足。视频中显示这个人在微笑，这是快乐的一个迹象。视频的文字表明这个人非常开心和高兴，同时也感到满意。此外，这个人说他们感到满足，没有遗憾。总体而言，这个人似乎处于积极和快乐的状态。
sample_00005854,这个人看起来很累，可能是沮丧或生气，但也对病人的状况表示关切。视频中的语言暗示与病人之间存在沟通问题，这个人可能试图表达关切，但很难被理解。此外，这个人看了看钟并注意到时间，表明他们感到压力大或时间紧迫。整个场景的氛围是担忧和紧迫，但没有提到具体的情绪。
