names,chi_reasons
sample_00000648,根据视频描述和字幕，很难推断出这个人的情绪状态。然而，句子“不要再跟我谈论感情了”表明这个人可能感到沮丧或压力过大，对于讨论情感感到厌烦。需要注意的是，情绪是复杂的，不总是可以从外部线索轻易推断出来。
sample_00000680,根据视频描述，我们可以推断这个年轻人戴着围巾并且正在看手机。没有明确的线索可以推断他的情绪状态。然而，在字幕中，他提到忘记了恰当地感谢某人，这可能暗示了一种后悔或内疚的感觉。总的来说，视频描述没有提供足够的信息来准确确定这个人的情绪状态。
sample_00000927,根据视频描述，我们可以推断这位年轻女士正在电话中进行对话，这可能表明她专注而且注意力集中。然而，没有进一步的背景或非语言线索，很难确定她的情绪状态。密集的字幕和一般性的描述没有提供任何明确的她情绪状态的指示。因此，我们不能从给定的信息中得出任何确定性的结论关于她的情绪状态。
sample_00001823,根据视频描述和密集字幕，我们无法推断出这个人的情绪状态，因为只有他们的外貌被描述了。字幕也没有提供任何关于这个人情绪状态的信息。因此，我们无法总结出对这个人情绪状态的回应。
sample_00002348,根据视频描述，很难推断出这个人的情绪状态，因为没有提到他们的语调或面部表情。然而，我们可以假设这个人正在电话中进行对话 ，根据对话的背景，他可能是专注的或分散注意力的。需要注意的是，情绪是复杂的，不总是容易从外部线索中推断出来。
sample_00002518,根据视频描述，我们可以推断出这个人的情绪状态没有明确说明。然而，我们可以看到一个微笑的年轻男子和一个年轻女子手持一根香蕉，背后是一幅有画的墙纸，这可能暗示了积极或好玩的情绪。此外，字幕“如果他在这里，他一定会支持我”可能暗示了一种安慰或安心的感觉。总体而言，这个人的情绪状态是开放解释的，可能因观看者的角度而有所不同。
sample_00003662,根据提供的视频描述，很难推断出这个人的情绪状态。然而，我们可以假设这个人自信并且专业，因为他穿着西装领带，在屏幕前发表演讲。密集的字幕还提到他拿着麦克风，这表明他准备好并且准备演讲。总体而言，这个人看起来沉着冷静，专注于发表演讲。
sample_00003855,根据视频描述和字幕，很难确定这个人的情绪状态。然而，我们可以假设这个人可能对他们的岳母感到防御或保护，基于他们说的“不要这样说我的岳母”。此外，他们正在打电话并讨论钱的事情可能暗示他们正在处理一个潜在的有压力或不舒服的情况。总体而言，这个人的情绪状态是可以解释的，并且可能会根据对话的背景而有所不同。
sample_00004125,根据视频描述，我们无法推断出这个人的情绪状态，因为没有具体的行为或表情表明她的感受。然而，我们可以假设她专注并投入到工作中，因为她大部分时间都坐在桌子前看着笔记本电脑。
sample_00004422,根据提供的视频描述，没有明确的线索可以推断出这个人的情绪状态。视频只描述了这个人的外貌和行为，比如坐在椅子上打电话。没有任何额外的背景或面部表情，很难确定这个人的情绪状态。
