names,chi_reasons
sample_00000648,从视频中可以推断出这个女人感到快乐和满足。她在与摄像机交谈时笑着。场景中有一只猫的存在也表明她在自己的环境中感到舒适和放松。
sample_00000680,在视频中，一个男人戴着围巾，用手机和某人交谈。从他打电话和戴围巾可以推断出他感到寒冷和可能不开心。
sample_00000927,根据视觉线索，视频中的人正在用手机交谈并微笑。女人在电话中微笑，表明她正在享受对话或接收到好消息。场景中有一只猫，增添了温暖和舒适的氛围。总体而言，视频中的人情绪快乐和满足。
sample_00001823,从视频中可以推断出这个人很可能是生气或者不高兴，因为他在说话时用手势并做了个表情。此外，他还被看到在和摄像机交谈，这可能意味着他试图传达自己的情绪或表达他的沮丧。
sample_00002348,从视频中我们可以看出，当事人对于微微怀孕的消息感到高兴和兴奋。 这名女子正在打电话，脸上带着微笑，这表明她的幸福和兴奋。
sample_00002518,我们可以推断出这个人对视频中的男人给予的支持感到高兴和兴奋。他正在微笑并且看着摄像机，这表明他们的情绪状态是积极的。
sample_00003662,从视频中，我们可以推断出这个人对某件事情感到高兴和兴奋。他微笑着对着麦克风说话，显示出积极的情绪状态。背景中的屏幕进一步支持这是一个直播活动的想法。通过他的肢体语言和面部表情，我们可以推断出他感到高兴和兴奋。
sample_00003855,从视频中可以推断出这个人很可能感到沮丧或生气，因为她被看到正在和某人交谈并指着摄像机。她的面部表情和身体语言表明她正在表达她的不满或沮丧。
sample_00004125,在视频中，一个女人坐在房间里看着一张纸，面部表情显示她感到沮丧或失望。然而，视频没有提供足够的背景信息来确定她情绪状态背后的确切原因。
sample_00004422,根据视频中的情景，这个人处于积极的情绪状态，可能是快乐或满足。她脸上的微笑表明她正在享受自己或有一个让她开心的理由。
sample_00004722,在视频中，一个女人在打电话时哭泣。从她的情绪表现可以推断出她可能感到不安或痛苦。
sample_00004776,视频中的人正在与摄像机交谈，穿着一套黑白色的专业服装。这表明她可能是一个专业人士或公众人物，并且处于一个专业的环境中，可能是新闻室或工作室。根据她的面部表情和肢体语言，我们可以推断她的情绪状态。如果她显得自信和沉着，可能表示她心情愉快或在专业环境中感到舒适。相反，如果她显得紧张或焦虑，可能表示她面临着一个具有挑战性的情况或正在处理一个困难的话题。
sample_00005000,在视频中，我们看到一个女人开车时正在打电话。她戴着眼镜，微笑着。根据这些线索，我们可以推断她情绪积极，可能是在享受时间或者在愉快地与对方交谈。
sample_00005526,根据视频，这位女士可能感到沮丧或生气。她正在和电话中的某人交谈，被看到在电话那头的人哭泣和大声喊叫。这位女士的情绪状态可以从她的面部表情和身体语言中明显看出。
sample_00005608,视频中的人微笑并注视着摄像机，表明他们处于积极的情绪状态。他们的面部表情和身体语言显示他们感到舒适和自在。
sample_00006114,从视频中可以推断出，这个人很可能正在经历情绪困扰或悲伤。他被看到坐在椅子上，低头看着，手里拿着一部手机。他的面部表情和身体语言显示出他感到沮丧或困扰。场景中的手机可能表明他正在尝试与某人沟通或寻求支持。然而，仅凭视频本身无法确定他们情绪状态的确切原因。
sample_00006294,从视频中可以推断出这个人对他们正在分享的新闻感到高兴和兴奋。他们在与视频中的男人交谈时面带微笑和笑声，表明这个人心情很好，喜欢与这个男人分享新闻。
sample_00006710,视频中的人在微笑，看起来很开心。这位女士正在用手机讲话，表明她心情积极，正在享受对话。
sample_00006748,从视频中可以推断出这个人很开心和满意。他被看到在微笑和大笑，视频显示他处于一个快乐的心情中。
sample_00005854,视频中的人正在和电话里的某人交谈。电话里的人问他为什么选择大哥而不是其他人。从他和电话里的人交谈时做鬼脸的表情可以推断出，这个人的情绪状态是沮丧或恼怒。
sample_00003358,视频中的人坐在沙发上，对着摄像头说话。他们似乎心情很好，正在享受对话。他们微笑和笑，表明他们此刻没有经历任何负面情绪或压力。
sample_00005933,在视频中，一个男人被看到正在与一个女人交谈，并微笑。男人的微笑和与女人的交谈表明他心情很好，可能很开心、满足或享受与女人的互动。
