names,emotions,subtitles,reasons
sample_00000648,生气,别再跟我说感觉。,在视频中，他怒吼，言辞激动，语速很快，音量很高，眼睛瞪大。因此推测他的情感状态为生气。
sample_00000680,高兴,昨晚，都忘了好好谢谢你。,在视频中，他用“好好谢谢你”这个词组来表达自己的感激之情。他嘴角上扬，眉毛也抬起，有些腼腆和害羞。因此，推测他的情感状态为感激、高兴、害羞。
sample_00000927,高兴,小蚯蚓，你什么时候回来呀。,在视频中，他充满期待地等待着小蚯蚓的到来。他的声音洋溢着愉悦，笑起来时，嘴角上扬，露出酒窝，同时摇晃着脑袋，看起来挺高兴的。因此，推测他的情感状态为期待、高兴。
sample_00001823,担忧,我是想问你，为什么退出？是不是真的不想在急诊干了，真的要去美国。,在视频中，他的好友即将离开急诊岗位，他表现的有些难过。他不太理解好友为何要去美国，表现出不舍和担忧。他的声音低沉、皱着眉头，推测情感比较偏向于负面。因此，推测他的情感状态为难过、不舍、担忧。
sample_00002348,惊讶,啊。未未怀孕啦。,在视频中，他得知好友怀孕后，表现的非常惊讶。他语速加快，音量抬高，突然也从沙发上坐了起来。他张大嘴巴，瞪大眼睛，眉毛抬起。因此，推测他的情感状态为惊讶。
sample_00002518,悲伤,倘若他在的话，一定会支持我的。,在视频中，从“倘若他在的话”可以看出，他想念的人不在身边而感到伤心。尽管他一直微笑着，但眼睛里含着泪光，眼眶也泛红了。他说话的速度很慢，中间停顿较长，声音也比较轻。因此，推测他的情感状态为悲伤。
sample_00003662,高兴,是多么的有分量，是多么的珍贵。,在视频中，他用“多么”加强了感情。声音铿锵有力，嘴角上扬露出牙齿，目光坚定有神，展现了他的喜悦和兴奋。因此，推测他的情感状态为喜悦和兴奋。
sample_00003855,生气,别这么说我婆婆，再说这钱也不是人家给我的。,在视频中，他不喜欢别人对他的婆婆说不当的话，显得有些生气。他说话时微微皱眉，表达了他的不满。因此，推测他的情感状态为生气。
sample_00004125,悲伤,对不起。,在视频中，他通过“对不起”表达了自己的愧疚和难过。他带有哭腔，抽鼻子，眉头紧锁，低头看着斜下方。昏暗的环境也反映出人物偏向于负面的情绪。因此，推测他的情感状态为悲伤、难过、内疚。
sample_00004422,高兴,,在视频中，他嘴角上扬，笑的露出牙齿，眉毛也跟着抬起。因此，推测他的情感状态为高兴。
sample_00004722,悲伤,我现在心里堵得慌，我能跟你聊吗？,在视频中，他表达了自己心里很难受，并询问对方能否聆听自己的心声，显得有些无助。他声音低沉无力、语速缓慢，透露出他情绪低落。他的眼睛发红，眉头微皱，眼角有泪光，看起来有些难过。因此，推测他的情感状态为低落、难过、无助。
sample_00004776,生气,不用发誓，如果你说谎，发誓一百遍都没用。,在视频中，他怀疑对方说谎而有些生气，声音也稍有提高，斜眼看向对方。因此，推测他的情感状态为生气。
sample_00005000,担忧,可是我还不知道，这考核能不能通过呢？而且,在视频中，他担心自己能否顺利通过考核。他说话速度缓慢，语调低沉，声音听起来柔弱无力。因此，推测他的情感状态为担忧。
sample_00005526,生气,然后再来一句，你们是和平分手就打发我了，你耍我呀你。,在视频中，他感到别人在戏弄他，感到生气和不满。在视频后段，音量抬高，语速加快，眉头紧锁，眼睛瞪得很大，看出情绪比较激动。因此推测他的情感状态为生气。
sample_00005608,高兴,接受，我只听到了这两个字。,在视频中，他听到对方接受了他的条件，感到开心。他的声音轻快，嘴角上扬并露出牙齿，眉毛也跟着抬起，嘟着嘴。因此，推测他的情感状态为高兴。
